Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,TreeID,Phylodist
0,0,1.00786171552498,DZ,BC,BC01,5.472930985029703
0,0,-0.3763068438567894,ST,BC,BC01,5.472930985029703
1,0.419,-1.249295021803274,BC,BC,BC01,0
0,0,0.25276745565084807,HI,BC,BC01,5.6088282658200255
0,0,0.1653440849920812,DZ,BC,BC01,5.472930985029703
0,0,-0.3091091931680772,ST,BC,BC01,5.472930985029703
0,0,-0.670151634212352,BC,BC,BC01,0
0,0,-1.0978983379033034,HI,BC,BC01,5.6088282658200255
1,0.819,0.6427707422940571,DZ,BC,BC02,5.472930985029703
1,0.09,1.1692391219835967,ST,BC,BC02,5.472930985029703
1,0.039,-1.0010907128357365,BC,BC,BC02,0
0,0,0.09840565067323064,HI,BC,BC02,5.6088282658200255
0,0,0.3338476110986609,DZ,BC,BC02,5.472930985029703
0,0,-0.5107021452342144,ST,BC,BC02,5.472930985029703
0,0,-0.2564777859331222,BC,BC,BC02,0
0,0,-0.17172750803759937,HI,BC,BC02,5.6088282658200255
0,0,-1.744362544215823,DZ,BC,BC03,5.472930985029703
1,0.176,1.2364367726723096,ST,BC,BC03,5.472930985029703
1,0.24,0.901808989248721,BC,BC,BC03,0
0,0,-0.71199382545926,HI,BC,BC03,5.6088282658200255
0,0,-1.1546002028427935,DZ,BC,BC03,5.472930985029703
0,0,0.2284720123416228,ST,BC,BC03,5.472930985029703
1,0.103,0.2399308320019541,BC,BC,BC03,0
0,0,1.2561191880053604,HI,BC,BC03,5.6088282658200255
1,0.727,0.1091762429565548,DZ,BC,BC04,5.472930985029703
0,0,0.3628673137190472,ST,BC,BC04,5.472930985029703
1,0.317,1.3982176071837964,BC,BC,BC04,0
0,0,-0.3260893130152168,HI,BC,BC04,5.6088282658200255
1,2.198,0.8393581894184005,DZ,BC,BC04,5.472930985029703
1,0.052,0.2284720123416228,ST,BC,BC04,5.472930985029703
0,0,1.2327480678721052,BC,BC,BC04,0
1,0.412,0.29135790689525226,HI,BC,BC04,5.6088282658200255
0,0,0.30576369008089765,DZ,BC,BC05,5.472930985029703
1,0.137,0.2284720123416228,ST,BC,BC05,5.472930985029703
0,0,0.7363394499370296,BC,BC,BC05,0
0,0,-0.48045111799283424,HI,BC,BC05,5.6088282658200255
1,0.84,-0.39633433536318474,DZ,BC,BC05,5.472930985029703
1,0.28,0.026879060275485,ST,BC,BC05,5.472930985029703
0,0,-0.42194732524481426,BC,BC,BC05,0
1,0.626,0.9088051268057212,HI,BC,BC05,5.6088282658200255
0,0,-1.266935886913847,DZ,BC,BC06,5.472930985029703
0,0,-1.5186669055649011,ST,BC,BC06,5.472930985029703
1,0.225,0.07446129269026126,BC,BC,BC06,0
0,0,-0.3260893130152168,HI,BC,BC06,5.6088282658200255
1,2.474,0.5585189792407674,DZ,BC,BC06,5.472930985029703
1,0.089,-0.9810857000552012,ST,BC,BC06,5.472930985029703
1,0.161,0.901808989248721,BC,BC,BC06,0
0,0,1.2947096392497646,HI,BC,BC06,5.6088282658200255
0,0,-1.5758590181092431,DZ,BC,BC07,5.472930985029703
0,0,-1.5858645562536131,ST,BC,BC07,5.472930985029703
1,0.127,0.4054003713136454,BC,BC,BC07,0
0,0,1.4876618954717862,HI,BC,BC07,5.6088282658200255
1,3.127,0.7270225053473471,DZ,BC,BC07,5.472930985029703
0,0,-0.9810857000552012,ST,BC,BC07,5.472930985029703
0,0,-2.0766427183617338,BC,BC,BC07,0
0,0,0.44571971187286974,HI,BC,BC07,5.6088282658200255
1,0.773,-1.6881947021802963,DZ,BC,BC08,5.472930985029703
1,0.02899999999999999,0.026879060275485,ST,BC,BC08,5.472930985029703
0,0,1.4809523768396438,BC,BC,BC08,0
1,0.4429999999999999,-0.01736570305998192,HI,BC,BC08,5.6088282658200255
