Status,Biomass.fin_orig,Height.ini_sc,Seedling.sp,Neighbour.sp,SoilSource_TreeID,Phylodist
1,1.309,-0.9387488243403875,DZ,HI,HI_5,5.608828265820026
1,1.485,0.03399483089888872,DZ,HI,HI_5,5.608828265820026
0,0,-0.5107416160351061,DZ,HI,HI_5,5.608828265820026
1,0.473,0.15072406952760214,DZ,BC,BC_1,5.472930985029703
0,0,0.6954605164615962,DZ,BC,BC_1,5.472930985029703
1,1.193,0.4620020392041701,DZ,BC,BC_1,5.472930985029703
0,0,1.5903846792817307,DZ,BC,BC_2,5.472930985029703
1,1.093,0.26745330815631485,DZ,BC,BC_2,5.472930985029703
1,1.504,0.5787312778328836,DZ,BC,BC_2,5.472930985029703
0,0,0.18963381573717306,DZ,BC,BC_3,5.472930985029703
0,0,0.07290457710845963,DZ,BC,BC_3,5.472930985029703
0,0,0.4620020392041701,DZ,BC,BC_3,5.472930985029703
1,1.826,0.4230922929945992,DZ,BC,BC_4,5.472930985029703
0,0,0.8900092475094515,DZ,BC,BC_4,5.472930985029703
1,1.284,0.11181432331803054,DZ,BC,BC_4,5.472930985029703
1,1.951,-0.6274708546638188,DZ,BC,BC_5,5.472930985029703
1,1.223,0.5398215316233126,DZ,BC,BC_5,5.472930985029703
1,1.157,0.15072406952760214,DZ,BC,BC_5,5.472930985029703
1,1.542,-0.549651362244677,DZ,ST,ST_5,3.189217863310539
1,1.733,2.5631283345210067,DZ,ST,ST_5,3.189217863310539
1,1.024,-0.3551026311968218,DZ,ST,ST_5,3.189217863310539
1,2.219,1.3958359482338754,DZ,ST,ST_2,3.189217863310539
1,1.493,0.03399483089888872,DZ,ST,ST_2,3.189217863310539
1,2.249,0.03399483089888872,DZ,ST,ST_2,3.189217863310539
1,0.886,-1.7169437485318084,DZ,ST,ST_3,3.189217863310539
0,0.936,0.8121897550903097,DZ,ST,ST_3,3.189217863310539
0,0,1.784933410329586,DZ,ST,ST_3,3.189217863310539
1,1.184,-0.3551026311968218,DZ,ST,ST_4,3.189217863310539
1,1.097,-0.3551026311968218,DZ,ST,ST_4,3.189217863310539
1,0.933,-0.9387488243403875,DZ,ST,ST_4,3.189217863310539
0,0,-0.3551026311968218,DZ,ST,ST_1,3.189217863310539
1,2.046,1.5903846792817307,DZ,ST,ST_1,3.189217863310539
1,0.7270000000000001,-2.106041210627519,DZ,ST,ST_1,3.189217863310539
1,1.983,0.6591172291419017,HI,SC,SC_1,5.608828265820026
1,1.042,1.0692346161635295,HI,SC,SC_1,5.608828265820026
1,0.254,-1.2742933096743434,HI,SC,SC_1,5.608828265820026
1,2.802,0.7177054272878484,HI,SC,SC_2,5.608828265820026
