pair,isval,is_lci,is_uci,mycopair,dataset
ST_DZ,0.11956745545401329,-0.6062790722991995,0.9501448326746359,conmycorrhizal,shadehouse
ST_HI,0.20468205824618824,-0.5661910997520071,1.0108490757328517,heteromycorrhizal,shadehouse
ST_BC,-0.07052673575125012,-0.7061437131116914,0.6556124430949213,heteromycorrhizal,shadehouse
ST_SC,-0.24261456445183183,-0.9247591214530922,0.4211595675458211,conmycorrhizal,shadehouse
DZ_HI,0.0846529428359385,-0.6367824105266165,0.8373385945383057,heteromycorrhizal,shadehouse
DZ_BC,0.4092400415766745,-0.2075263303762607,1.1968258317270646,heteromycorrhizal,shadehouse
DZ_SC,1.0593813881645386,0.2673215963069934,2.1455332623671604,conmycorrhizal,shadehouse
HI_BC,-0.032135414250502925,-0.641650692906352,0.5312874331285984,conmycorrhizal,shadehouse
HI_SC,1.107279648437052,0.32451627758737334,1.9250605111631807,heteromycorrhizal,shadehouse
BC_SC,0.16621022303088628,-0.41830609376515954,0.8370807265606716,heteromycorrhizal,shadehouse
ST_DZ,0.08796867231211736,-1.6013773998170844,1.8090837335287515,conmycorrhizal,field
ST_HI,-1.4444019436041817,-3.1690235330723917,0.25685770340179953,heteromycorrhizal,field
ST_BC,-1.7802108640627405,-3.352444085336459,-0.48863940223758395,heteromycorrhizal,field
DZ_HI,-1.148223032000099,-2.51931672996925,0.21305915616511256,heteromycorrhizal,field
DZ_BC,-0.4014883907583515,-1.5674478142791348,0.8103095502564247,heteromycorrhizal,field
HI_BC,0.0859004293452883,-1.4733128588300584,1.738646945350499,conmycorrhizal,field
