study,predictor,K,AICc,Delta_AICc,AICcWt,model
spsf,Height,55,370.2895342212131,0,0.9999999863730831,s
spsf,Biomass,55,406.5432110750818,36.25367685386868,1.3415723255785079e-8,s
spsf,Leaves,55,414.8460240500783,44.55648982886521,2.1119379842204932e-10,s
fpsf,Height,37,462.2007322078795,0,0.9999894698136143,f
fpsf,Biomass,37,485.1274950052429,22.92676279736338,1.0507808306589604e-5,f
fpsf,Leaves,37,497.4310790762161,35.230346868336596,2.2378079199255745e-8,f
